Book,Chapter,Verse,ASY,TRL,ENG
Matthew,1,1,"ܐܵܗܵܐ ܝܠܹܗ ܟܬܵܒ݂ܵܐ ܕܝܼܠܝܼܕܘܼܬܵܐ ܕܝܼܫܘܿܥ ܡܫܝܼܚܵܐ، ܒܪܘܿܢܵܐ ܕܕܵܘܝܼܕ، ܒܪܘܿܢܵܐ ܕܐܲܒ݂ܪܵܗܵܡ.","Aha-yleh ktawa deeleedoeta deeshoo' msheekha, broona ddaweed, broona dawraham.","The book of the generation of Jesus Christ, the son of David, the son of Abraham."
,,2,ܐܲܒ݂ܪܵܗܵܡ ܡܘܼܠܸܕ ܠܹܗ ܠܐܝܼܣܚܵܩ؛ ܐܝܼܣܚܵܩ ܡܘܼܠܸܕ ܠܹܗ ܠܝܲܥܩܘܿܒ݂؛ ܝܲܥܩܘܿܒ݂ ܡܘܼܠܸܕ ܠܹܗ ܠܝܼܗܘܼܕܵܐ ܘܠܐܲܚܘܿܢܘܵܬܹ̈ܗ؛,Awraham moelid-leh leeskhaq; eeskhaq moelid-leh lya'qoow; ya'qoow moelid-leh leehoeda o lakhoonwateh;,Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brethren;
,,3,ܝܼܗܘܼܕܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܦܲܪܨ ܘܠܙܲܪܚ ܡ̣ܢ ܬܵܡܵܪ؛ ܦܲܪܨ ܡܘܼܠܸܕ ܠܹܗ ܠܚܸܨܪܘܿܢ؛ ܚܸܨܪܘܿܢ ܡܘܼܠܸܕ ܠܹܗ ܠܐܵܪܵܡ؛,Eehoeda moelid-leh lparṣ o lzarkh min tamar; parṣ moelid-leh lkhiṣroon; khiṣroon moelid-leh laram;,and Judah begat Perez and Zerah of Tamar; and Perez begat Hezron; and Hezron begat Ram;
,,4,ܐܵܪܵܡ ܡܘܼܠܸܕ ܠܹܗ ܠܥܲܡܝܼܢܵܕܵܒ݂؛ ܥܲܡܝܼܢܵܕܵܒ݂ ܡܘܼܠܸܕ ܠܹܗ ܠܢܸܚܫܘܿܢ؛ ܢܸܚܫܘܿܢ ܡܘܼܠܸܕ ܠܹܗ ܠܣܲܠܡܘܿܢ؛,Aram moelid-leh l'ameenadaw; 'ameenadaw moelid-leh lnikhshoon; nikhshoon moelid-leh lsalmoon;,and Ram begat Amminadab; and Amminadab begat Nahshon; and Nahshon begat Salmon;
,,5,ܣܲܠܡܘܿܢ ܡܘܼܠܸܕ ܠܹܗ ܠܒܵܥܵܙ ܡ̣ܢ ܪܵܚܵܒ݂؛ ܒܵܥܵܙ ܡܘܼܠܸܕ ܠܹܗ ܠܥܘܿܒ݂ܝܼܕ ܡ̣ܢ ܪܥܘܿܬ؛ ܥܘܿܒ݂ܝܼܕ ܡܘܼܠܸܕ ܠܹܗ ܠܐܝܼܫܲܝ؛,Salmoon moelid-leh lba'az min rakhaw; ba'az moelid-leh l'ooweed min r'oot; 'ooweed moelid-leh leeshay;,and Salmon begat Boaz of Rahab; and Boaz begat Obed of Ruth; and Obed begat Jesse;
,,6,ܐܝܼܫܲܝ ܡܘܼܠܸܕ ܠܹܗ ܠܕܵܘܝܼܕ ܡܲܠܟܵܐ؛ ܕܵܘܝܼܕ ܡܘܼܠܸܕ ܠܹܗ ܠܫܠܹܝܡܘܿܢ ܡ̣ܢ ܒܲܟ݂ܬܵܐ ܕܐܘܿܪܝܼܵܐ؛,Eeshay moelid-leh ldaweed malka; daweed moelid-leh lshleymoon min bakhta dooreea;,and Jesse begat David the king. And David begat Solomon of her that had been the wife of Uriah;
,,7,ܫܠܹܝܡܘܿܢ ܡܘܼܠܸܕ ܠܹܗ ܠܪܚܸܒ݂ܥܲܡ؛ ܪܚܸܒ݂ܥܲܡ ܡܘܼܠܸܕ ܠܹܗ ܠܐܲܒ݂ܝܼܵܐ؛ ܐܲܒ݂ܝܼܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܐܵܣܵܐ؛,Shleymoon moelid-leh lrkhiw'am; rkhiw'am moelid-leh laweea; aweea moelid-leh lasa;,and Solomon begat Rehoboam; and Rehoboam begat Abijah; and Abijah begat Asa;
,,8,ܐܵܣܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܝܵܗܘܿܫܵܦܵܛ؛ ܝܵܗܘܿܫܵܦܵܛ ܡܘܼܠܸܕ ܠܹܗ ܠܝܘܿܪܵܡ؛ ܝܘܿܪܵܡ ܡܘܼܠܸܕ ܠܹܗ ܠܥܘܿܙܝܼܵܐ؛,Asa moelid-leh lyahooshapaṭ; yahooshapaṭ moelid-leh lyooram; yooram moelid-leh l'oozeea;,and Asa begat Jehoshaphat; and Jehoshaphat begat Joram; and Joram begat Uzziah;
,,9,ܥܘܿܙܝܼܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܝܘܿܬܵܡ؛ ܝܘܿܬܵܡ ܡܘܼܠܸܕ ܠܹܗ ܠܐܵܚܵܙ؛ ܐܵܚܵܙ ܡܘܼܠܸܕ ܠܹܗ ܠܚܹܙܲܩܝܵܐ؛,'oozeea moelid-leh lyootam; yootam moelid-leh lakhaz; akhaz moelid-leh lkhezaqya;,and Uzziah begat Jotham; and Jotham begat Ahaz; and Ahaz begat Hezekiah;
,,10,ܚܹܙܲܩܝܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܡܢܲܫܹܐ؛ ܡܢܲܫܹܐ ܡܘܼܠܸܕ ܠܹܗ ܠܐܲܡܘܿܢ؛ ܐܲܡܘܿܢ ܡܘܼܠܸܕ ܠܹܗ ܠܝܘܿܫܝܼܵܐ؛,Khezaqya moelid-leh lmnashe; mnashe moelid-leh lamoon; amoon moelid-leh lyoosheea;,and Hezekiah begat Manasseh; and Manasseh begat Amon; and Amon begat Josiah;
,,11,"ܝܘܿܫܝܼܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܝܘܿܟܲܢܝܵܐ ܘܠܐܲܚܘܿܢܘܵܬܹ̈ܗ، ܒܥܕܵܢܵܐ ܕܓܵܠܘܼܬܵܐ ܕܒܵܒܹܠ.","Yoosheea moelid-leh lyookanya o lakhoonwateh, b'dana dgaloeta dbabel.","and Josiah begat Jechoniah and his brethren, at the time of the carrying away to Babylon."
,,12,"ܡ̣ܢ ܒܵܬ݇ܪ ܓܵܠܘܼܬܵܐ ܕܒܵܒܹܠ، ܝܘܿܟܲܢܝܵܐ ܡܘܼܠܸܕ ܠܹܗ ܠܫܹܠܲܬܐܹܝܠ؛ ܫܹܠܲܬܐܹܝܠ ܡܘܼܠܸܕ ܠܹܗ ܠܙܘܼܪܒܵܒܹܠ؛","Min bar galoeta dbabel, yookanya moelid-leh lshelateyl; shelateyl moelid-leh lzoerbabel;","And after the carrying away to Babylon, Jechoniah begat Shealtiel; and Shealtiel begat Zerubbabel;"
,,13,ܙܘܼܪܒܵܒܹܠ ܡܘܼܠܸܕ ܠܹܗ ܠܐܲܒ݂ܝܼܘܿܕ؛ ܐܲܒ݂ܝܼܘܿܕ ܡܘܼܠܸܕ ܠܹܗ ܠܐܸܠܝܵܩܝܼܡ؛ ܐܸܠܝܵܩܝܼܡ ܡܘܼܠܸܕ ܠܹܗ ܠܥܵܙܘܿܪ؛,Zoerbabel moelid-leh laweeood; aweeood moelid-leh lilyaqeem; ilyaqeem moelid-leh l'azoor;,and Zerubbabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
,,14,ܥܵܙܘܿܪ ܡܘܼܠܸܕ ܠܹܗ ܠܙܵܕܘܿܩ؛ ܙܵܕܘܿܩ ܡܘܼܠܸܕ ܠܹܗ ܠܐܲܟܝܼܢ؛ ܐܲܟܝܼܢ ܡܘܼܠܸܕ ܠܹܗ ܠܐܹܠܝܼܘܿܕ؛,'Azoor moelid-leh lzadooq; zadooq moelid-leh lakeen; akeen moelid-leh leleeood;,and Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
