Date,Feast,Lection 1,Lection 2,Epistle,Gospel,Raw
6 January 2025,The Holy Feast Of The Epiphany,Numbers 24:2-9; 15-end,Isaiah 4:2-5; 11:1-5; 12:4-end,Titus 2:11-3:7,Matthew 3,6 January 2025 The Holy Feast Of The Epiphany Numbers 24:2-9; 15-end Isaiah 4:2-5; 11:1-5; 12:4-end Titus 2:11-3:7 Matthew 3
7 January 2025,First Sunday Of Epiphany,Exodus 3:1-15,Isaiah 44:21-45:4,2 Timothy 3:1-15,Luke 4:14-30,7 January 2025 First Sunday Of Epiphany Exodus 3:1-15 Isaiah 44:21-45:4 2 Timothy 3:1-15 Luke 4:14-30
14 January 2025,Second Sunday Of Epiphany,Numbers 10:29-11:10,Isaiah 45:11-17,Hebrews 3:1-13,John 1:1-28,14 January 2025 Second Sunday Of Epiphany Numbers 10:29-11:10 Isaiah 45:11-17 Hebrews 3:1-13 John 1:1-28
14 January 2025,Third Sunday Of Epiphany,Numbers 11:11-20,Isaiah 45:18-46:4,Hebrews 3:14-4:10,John 1:29-42,14 January 2025 Third Sunday Of Epiphany Numbers 11:11-20 Isaiah 45:18-46:4 Hebrews 3:14-4:10 John 1:29-42
21 January 2025,Fourth Sunday Of Epiphany,Numbers 11:23-end,Isaiah 46:5-end,Hebrews 7:18-end,John 1:43-2:11,21 January 2025 Fourth Sunday Of Epiphany Numbers 11:23-end Isaiah 46:5-end Hebrews 7:18-end John 1:43-2:11
21 January 2025,Fifth Sunday Of Epiphany,Deuteronomy 18:9-end,Isaiah 48:12-20,Hebrews 6:9-7:3,John 3:1-21,21 January 2025 Fifth Sunday Of Epiphany Deuteronomy 18:9-end Isaiah 48:12-20 Hebrews 6:9-7:3 John 3:1-21
22 January 2025,Rogation Of The Ninevites,Isaiah 63:17-64:all,Amos 5:3-15;,Habakkuk 3:all,1 Timothy 2:1-10 Matthew 5:17-37,22 January 2025 Rogation Of The Ninevites Isaiah 63:17-64:all Amos 5:3-15; Habakkuk 3:all 1 Timothy 2:1-10 Matthew 5:17-37
23 January 2025,Rogation Of The,Ninevites,1 Samuel 7:3--9,Isaiah 59:1-18,Romans 12 Luke 18:1-14,23 January 2025 Rogation Of The Ninevites 1 Samuel 7:3--9 Isaiah 59:1-18 Romans 12 Luke 18:1-14
24 January 2025,Rogation Of The Ninevites,Joel 2:1-27,Jonah,3 Colossians 3:1-4:1,Matthew 6:1-18,24 January 2025 Rogation Of The Ninevites Joel 2:1-27 Jonah 3 Colossians 3:1-4:1 Matthew 6:1-18
25 January 2025,Thursday Following The Rogation Of The Ninevites - Thanksgiving,Isaiah 65:16-66:2,Jeremiah 17:21-26,Romans 10:1-13,John 16:23-end,25 January 2025 Thursday Following The Rogation Of The Ninevites - Thanksgiving Isaiah 65:16-66:2 Jeremiah 17:21-26 Romans 10:1-13 John 16:23-end
